user,text
@soyporquesomos_,Se empiezan a reportar nuestros jurados de votación. Desde Washington la diaspora colombiana también activa en el cambio. Colombia va a cambiar. #SoyPorqueSomos
@hojillasilva,"Se corre la voz de fraude electoral en Colombia!, lo que corrobora la líder social, politóloga y concejal, Ana Leidy Erazo Ruíz, en entrevista exclusiva para Venezuela News. https://venezuela-news.com/exclusiva-ana-erazo-compra-votos-uribismo-colombia-paso-15-40/… vía @Agencia_VN"
@RonnySuarez_,"A ver, a ver. Por ahora no hay un caso probable de #ViruelaDelMono en Colombia. Lo que hay es un rastreo epidemiológico a los contactos de un español que estuvo de paseo por acá y a su regreso dio positivo. Algo normal y diferente. Guardemos el rigor, por favor (Sigue)"
@IvanCepedaCast,"“Francia Márquez está obligando a Colombia a enfrentar su pasado y presente racista, clasista y sexista”: The Washington Post"
@MariolySosaP,"Amo mi país pero, en otros países he visto más valorado mí esfuerzo por ayudar a combatir este atentado contra la humanidad disfrazado de medidas sanitarias. Argentina Chile Colombia El Salvador España Estados Unidos México Panamá Paraguay Perú Uruguay Venezuela Gracias"
@AlexLopezMaya,#UnTramposoEs el señor @IvanDuque que de forma errante y delirante sale de Colombia a decir mentiras en el exterior que en nada se compadecen con la realidad. Un presidente que cuenta con el 78% de desaprobación no tendría oportunidades para absolutamente nada
@HOLLMANMORRIS,ATENCIÓN @petrogustavo anuncia en este momento que solicitará a @ONUHumanRights @pnud a Naciones Unidas crear Comisión especial para investigar los mayores escándalos de corrupción en Colombia y que la dirija el ex magistrado @Ivan_Velasquez_
@JohnMiltonR_,"#UnTramposoEs el que engaña al elector hablando de la vida, de la libertad y está de acuerdo con el aborto y la eutanasia. Colombia va a votar por convicción porque somos un país provida. #JohnMiltonPresidenteVa"
@adolforivasdiaz,"Soy un convencido que el cambio es ahora, la historia y la ciudadanía nos demandan liderar la construcción de un gobierno para hacer de Colombia una potencia de la vida, la paz y la esperanza. #MiVotoEsPetroYFrancia"
@CamilaRuedaR,"En las campañas políticas hay subidas, bajadas, caídas y levantadas. Aquí estamos #FirmesConFajardo porque creemos en sus propuestas para reconstruir el país. Vamos subiendo para llegar a la meta. Colombia se merece un Presidente como @sergio_fajardo #SubeteALaChivaFajardista"
@RNVinformativa,"#VíaAlterna @CatirrusiaV : 39 millones de colombianos podrán ejercer el derecho al voto el 29 de mayo, en unas elecciones importantes para Colombia y para la región #PuebloYGobiernoActivos #YoSoyDeAqui"
@sergio_fajardo,"Esta semana es decisiva, aún muchos no saben por quién votar. Nuestro reto será llegar a miles de personas que quieren derrotar a la corrupción y quieren una Colombia con educación, con oportunidades para jóvenes y mujeres, y con seguridad en las calles. @LaKalle"
@EdoCote,"Pablo Escobar desató una guerra cruel y despiadada contra Colombia, finalmente las FFAA con en apoyo de USA lo neutralizaron. Si @JuanManSantos y @petrogustavo creen que nos van intimidar con la Guerra Urbana están equivocados, las FFAA y los amigos de siempre los neutralizaran"
@ikevanaaa,#HelpColombia Colombia no puede seguir soportando la violencia y corrupción.
@ColombiaHumana_,"A partir de hoy hasta el 29 de mayo las y los colombianos podrán votar en el exterior. Colombia no necesita socialismo, necesita democracia y paz y esa será la transición para que éste país se convierta en una potencia mundial de la vida. #PetroPresidente #MiVotoEsPetroYFrancia"
@supercatrina66,"“Vamos a ganar la presidencia de colombia”dice FICO en Cali! Y le creo, mas de 50.000 personas en la manifestación y le agrego: “Vamos a ganar la presidencia de Colombia en primera vuelta” #FedericoEsColombia Si lo crees dale RT"
@AdrianaBehaine,"¡El Cambio es con las mujeres! COLOMBIA será una potencia mundial de la vida. Defiende la democracia, Cuida tu voto, no dejes que te quiten el CAMBIO. @petrogustavo Presidente @FranciaMarquezM Vicepresidenta. #ProgresistaSigueProgresista @AngelicaVerbelL"
@willj84753699,"¡ATENCIÓN! #SOSColombia Cuando un candidato Presidencial se protege con láminas blindadas para dar discurso en la Plaza pública, es indicador d la falta d garantías por parte del estado. En Colombia, corruptos y mafiosos se quieren perpetuar en el poder. ¡Estado fallido! @CIDH"
@VM_fire,YO CUMANÁ Candidatos preparan cierres de campaña rumbo al 29M en Colombia #DenunciaPorVenApp https://vtv.gob.ve/candidatos-colombianos-campana/…
@queenmary00,#PuebloYGobiernoActivos Concejala de Cali sobre compra de votos en Colombia: “La desesperación los ha hecho triplicar el pago” https://fusernews.com/concejala-de-cali-sobre-compra-de-votos-en-colombia-la-desesperacion-los-ha-hecho-triplicar-el-pago/… vía @fusernews_
@AndresElGury,"Nosotros somos @medellincuenta1 y representamos a los ciudadanos, los que creemos en la democracia, los que defendemos este ciudad y este departamento. Si cae Antioquia, cae Colombia. No lo permitiremos."
@esalbaran,"Yo NUNCA le daría mi voto a alguien que soluciona problemas repartiendo cachetadas e insultos; sin embargo, aquí ⁦ @DCoronell explica muy bien por qué no votar por ""el ingeniero"" en #Colombia> BUFÓN Y TRUHÁN"
@MargaritaRepo,"#Medellín | Que orgullosa me siento de ser colombiana, de ser antioqueña y ver esta raza valiente que no se acobarda. Acá estamos esperando a @FicoGutierrez , el próximo presidente de Colombia. #FicoEsColombia"
@ALFREDOSAADEV,"Conversé con @FranciaMarquezM esta super comprometida y me dijo ""la bendición de Dios nos guarda de todo mal y peligro"" Levántate colombia"
@AlexLopezMaya,"Es desolador ver qué han convertido a la Procuraduría en un apéndice del Gobierno de @IvanDuque . Cero independencia, el legado de los entes de control que nombró este Gobierno gracias a sus mayorías en el Congreso."
@willj84753699,"¡ATENCIÓN COLOMBIA! #MiVotoEsPetroYFrancia porque ya es hora que el pueblo gobierne. Desde la Plaza de Bolívar @Noti_Space transmite el cierre de campaña de Gustavo Petro. RT, al tuit, me sigues, te sigo, formemos una gran comunidad. Al aire @Noti_Space"
@waxwingeco,Red-ruffed Fruitcrow (Pyroderus scutatus) at Santuario de Fauna y Flora Otún Quimbaya #Colombia #TwitterNatureCommunity #birds #birdphotography #NaturePhotography #birdwatching
@aydeelizarazoc,#FedericoEsColombia @FicoGutierrez el presidente que #Colombia necesita para gobernar con principios y valores. @Rodrigo_LaraS @PartidoMIRA
@vanedelatorre,Estuve en el concierto de @karolg y si: va a arrodillar al mundo. Colombia no había tenido una artista de ese nivel.
@noticero1,"PETRO... PETRO... PRESIDENTE ! Ya llega el cambio por la vida. Por el futuro de Colombia, por la educación de todos los niños. No más corruptos robándose el dinero del PAE, del internet. Colombia potencia mundial de la vida. #PetroPresidenteEnPrimeraVuelta"
@ZenuMujer,"Apoteosico Sincelejo le cumplió a Colombia en defensa de la libertad, la creación de empresas, la educación, la defensa del agro, la prosperidad etc. #FedericoEsColombia"
@Juan_EspinalR,"A pesar de la lluvia acá estamos, firmes con @FicoGutierrez por Colombia #FicoUneAColombia Cierre de campaña en casa"
@MargaritaRepo,"Multitudinario cierre de Campaña de @FicoGutierrez , el próximo presidente de Colombia. Medellín está con Fico. #FedericoEsColombia"
@andresmelocou,"Bien pero no es suficiente. Usted dice que ""une"", pero no se une a Fico por el bien de Colombia. Entonces de qué hablas, viejo?"
@CMonteroOficial,"#Colombia :una elección presidencial bajo amenazas | A una semana de #EleccionesColombia , redoblan las alertas. Gustavo Petro, candidato favorito, denunció la existencia de un plan para dar “un golpe a las elecciones” https://bit.ly/3lRDjP7?utm_source=TW… ( @Pagina12 )"
@EsenttiaSA,"¡Conseguimos un nuevo hito para la #CienciaEsenttia! El viceministro de Conocimiento, Innovación y Productividad de @MincienciasCo , @SCristanchoM , nos hizo entrega del reconocimiento como una de las 23 unidades de Investigación, Desarrollo tecnológico e Innovación de Colombia."
@teleSURtv,"El Centro de Monitoreo de Desplazamientos Internos reveló que #Colombia es el tercer país del mundo con el mayor número de desplazados internos, mientras el número de desplazados en el mundo superó los 100 millones de personas"
@MargaritaRepo,"¡Gracias Fico por transmitirnos esperanza! Antioquia solo cambia para mejorar, seguiremos aportando al desarrollo de Colombia. ¡Mantengámonos unidos! #FicoEsColombia #NosUnimosONosJodemos"
@NoticiasUno,#NoticiasUno| Comisión IDH acepta examinar caso de falsos positivos de 2007 en Colombia por ausencia de justicia nacional.
@ColdplayColombi,Es oficial Segunda fecha de @coldplay en Colombia Viernes 16 de septiembre @OcesaColombia @warnermusiccol @musictrendscol
@oscarjahir_,Hoy cerramos la campaña del @ingrodolfohdez en el municipio de #SabanaDeTorres. Gracias a nuestra gestora Lina Cubides por ese trabajo maravilloso que ha venido desarrollando en la región ¡Seguiremos recorriendo #Colombia hasta el último minuto! #RodolfoPresidente
@matarifeco,"Marcha en Paris Francia, 21 de Mayo por Colombia #HelpColombia @ElQueLosDELATA @mem_colectiva"
@CMonteroOficial,"Iván Duque ⁦ @IvanDuque ⁩ sobre las elecciones en #Colombia : ""Si pudiera presentarme, estaría en la pelea y sería reelecto"" ( Entrevista de BBC News Mundo)"
@causajustaco,"Desde Causa Justa nos enorgullece informar que @Arpistina1 y @Cristin63682532 , pioneras de este movimiento, han sido incluidas en la lista de las 100 personas más influyentes del 2022 de la revista @TIME #Time100"
@queenmary00,#DenunciaPorVenApp Gigante el Cierre de campaña del Pacto Historico en Colombia y su candidato @petrogustavo a una semana de las elecciones el Uribismo tiembla de perder las elecciones planea suspender las elecciones de este 29 de mayo ante la inminente Derrota
@anonimo_chevez,Sebastian Tamayo de su tierrita Colombia #Feliz30SebasTamayo
@ficoctgybolivar,"Con una jornada ciclística, jóvenes de la ciudad amurallada se vistieron en apoyo al candidato FICO GUTIÉRREZ, #ElPresidenteDeLaGente. Los jovénes ratificaron su apoyo y con contundencia este próximo 29 de Mayo respaldarán con su VOTO a el Equipo Por Colombia."
@Alcadima,"#HelpColombia Así debe presentarse la candidata a vicepresidenta @FranciaMarquezM , Colombia un país en dónde han asesinado a 4 candidatos a presidencia en plena campaña. Colombia necesita ayuda."
@CarlosAmayaR,"Gracias a todas y todos los voluntarios de Colombia que siguen pedaleando. Por un cambio profundo, sereno y colectivo, ¡#FirmeConFajardo! #SúbeteALaChivaFajardista"
@hernancadavidma,"Adelante @FicoGutierrez , se va fortalecido de nuestra tierra paisa y con la misión de salvar a Colombia de una castastrofe de populismo y odio. #FicoUneAColombia y nosotros ayudaremos en lo que esté a nuestro alcance."
@ABRILRAMJOSE2,"Donde tú sí cuentas | Cambio Colombia via @estoescambio https://cambiocolombia.com/opinion/puntos-de-vista/donde-tu-si-cuentas… ""resulta mayor coincidencia, y más desafortunada, el hecho de que en la lista de colaboradores que entregó Dairo Antonio Úsuga, alias Otoniel, a la JEP, incluye a la Universidad Sergio Arboleda, ..."""
@WRadioColombia,#Actualidad | El candidato ( @petrogustavo ) aseguró que si es presidente le propondrá a la ONU la conformación de un grupo independiente que investigue la corrupción en Colombia.
@lennonbp1985,"Porque por fin llegó el momento de acabar con la dictadura, porque Colombia va a ser potencia de vida... #MiVotoEsPetroYFrancia"
@Radioacktiva_,¡Confirmada la segunda fecha de Coldplay en Colombia! Nos vemos el 16 de septiembre @coldplay
@Karlaarcila,"A seis días de las elecciones presidenciales en Colombia, cuéntenos ¿Va a votar el próximo domingo, si, no, y por qué? Envíe su nota de voz al 3134223933 y los leemos con el #RCNMundo nuestro #EsLaGente con todo el mundo @jesuspradodiaz"
@lacoutu,"Para tener en cuenta cuando vayan a interpretar Encuestas. #MedellinConFico . @FicoGutierrez #FicoEs Seguridad, Democracia, Desarrollo, Estabilidad, Pujanza, Trabajo, Unidad, Gobernanza, Colombia. #FicoPresidenteDeLaGente"
@LHHispanic,| Oficialmente la fecha del #LTWT en Colombia es SOLD OUT !!! Solo quedan 2 shows por hacer SOLD OUT de los 19 que @Louis_Tomlinson está ofreciendo en la región!! Show sin Sold Out: *Uruguay *Costa Rica
@CNNEE,"El presidente de Colombia, Iván Duque, indicó este domingo que las elecciones presidenciales en su país no se van a suspender, como sugirió este sábado el candidato presidencial por la coalición Pacto Histórico, Gustavo Petro"
@GNB_tachira,"En el Comando de Zona de la GNB N°21 Táchira nuestros centinelas continuaran luchando por nuestros Jóvenes especialmente, vamos a luchar contra las drogas provenientes de Colombia, ¡Nuestro país no será ruta del narcotráfico! #CEOFANB #23May #FANBEsSoberanía @NicolasMaduro"
@BTSFondosARMYCo,"Chart Spotify Colombia Top 200 Diario 22/05/22: #187 ""Run"" - @BTS_twt : 16.030 Streams #ARMYColombia Logramos ingresar por 1ra vez está icónica canción de Bangtan a nuestro chart ¡Logremos que las reproducciones suban hoy... Ánimo!"
@NoticiasCaracol,"#ColombiaDecide | Análisis de la encuesta Invamer: ¿Hay estancamiento en campaña de Federico Gutiérrez? El candidato del Equipo por Colombia creció solo 0,3% en intención de voto y Rodolfo Gutiérrez subió 7%. Petro, aunque bajó, sigue como favorito - https://bityl.co/CJsI"
@CieloMontoya8,"Hasta San Pedro, está en parques del Río Medellín, esperando a FICO. Que día, soleado como el futuro de colombia con ….#FicoPresidenteEnPrimeraVuelta"
